event_id,anonymous_session_id,workflow_stage,event_type,timestamp_bucket,consent_status,portal_version,event_source,created_at
EVT-70DA13A58BAA,ANON-701F-5A5A,Login,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:01:00
EVT-63A69B1127A2,ANON-701F-5A5A,Login,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:01:16
EVT-96F75B72D688,ANON-701F-5A5A,Start Claim,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:01:16
EVT-5AC9EECD610E,ANON-701F-5A5A,Start Claim,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:02:00
EVT-5DE39F7A6B79,ANON-701F-5A5A,Claim Type,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:02:00
EVT-0E2995C7603D,ANON-701F-5A5A,Claim Type,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:02:37
EVT-103B5BA77A41,ANON-701F-5A5A,Claim Details,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:02:37
EVT-602191239B9C,ANON-701F-5A5A,Claim Details,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:02:52
EVT-DB2CFF3B1D92,ANON-701F-5A5A,Document Upload,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:02:52
EVT-B74F6020F228,ANON-701F-5A5A,Document Upload,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:03:03
EVT-68DAC16F3D85,ANON-701F-5A5A,Review,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:03:03
EVT-EF9C9A9DDC2C,ANON-701F-5A5A,Review,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:03:58
EVT-EB0046C76FF4,ANON-701F-5A5A,Submit,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:03:58
EVT-F4EB718D58DF,ANON-701F-5A5A,Submit,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:04:42
EVT-77694F42A448,ANON-701F-5A5A,Confirmation,ENTERED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:04:42
EVT-1822906B51EA,ANON-701F-5A5A,Confirmation,COMPLETED,2026-08-21 11:00:00,CONSENTED,v2.4-legacy-adapter,web_claims_portal,2026-08-21T11:05:20
EVT-03CB65DF6DDC,ANON-7F3D-BEFE,Login,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:44:00
EVT-E3615D5E2CDE,ANON-7F3D-BEFE,Login,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:44:58
EVT-02D3103A0AC9,ANON-7F3D-BEFE,Start Claim,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:44:58
EVT-08715482C430,ANON-7F3D-BEFE,Start Claim,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:45:13
EVT-6824AB80E825,ANON-7F3D-BEFE,Claim Type,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:45:13
EVT-17DF1B30E15B,ANON-7F3D-BEFE,Claim Type,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:45:45
EVT-7722577AE84E,ANON-7F3D-BEFE,Claim Details,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:45:45
EVT-A447DC061A07,ANON-7F3D-BEFE,Claim Details,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:46:33
EVT-720712508B1C,ANON-7F3D-BEFE,Document Upload,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:46:33
EVT-38895DFEEF62,ANON-7F3D-BEFE,Document Upload,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:47:12
EVT-3AC5F74EBC4D,ANON-7F3D-BEFE,Review,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:47:12
EVT-CAE01E73C5FA,ANON-7F3D-BEFE,Review,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:47:46
EVT-8170C7427ECA,ANON-7F3D-BEFE,Submit,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:47:46
EVT-CB53474E64DE,ANON-7F3D-BEFE,Submit,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:48:14
EVT-35033A0F4300,ANON-7F3D-BEFE,Confirmation,ENTERED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:48:14
EVT-1318F604244A,ANON-7F3D-BEFE,Confirmation,COMPLETED,2026-08-01 13:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-01T13:49:03
EVT-F3A0B8BF8719,ANON-42A3-D4A1,Login,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:02:00
EVT-277FE8C226AA,ANON-42A3-D4A1,Login,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:02:16
EVT-02416D18E886,ANON-42A3-D4A1,Start Claim,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:02:16
EVT-CC397AECAE13,ANON-42A3-D4A1,Start Claim,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:02:55
EVT-ECB475EC0F1C,ANON-42A3-D4A1,Claim Type,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:02:55
EVT-EE800E6C2DA9,ANON-42A3-D4A1,Claim Type,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:03:28
EVT-1FE8C7A5F962,ANON-42A3-D4A1,Claim Details,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:03:28
EVT-FE52328A4477,ANON-42A3-D4A1,Claim Details,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:04:00
EVT-EB2BF518EC3B,ANON-42A3-D4A1,Document Upload,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:04:00
EVT-88C47768DCA7,ANON-42A3-D4A1,Document Upload,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:04:53
EVT-3DF4B135EE0E,ANON-42A3-D4A1,Review,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:04:53
EVT-CF19FD3BF834,ANON-42A3-D4A1,Review,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:05:41
EVT-F4B3419BCC6F,ANON-42A3-D4A1,Submit,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:05:41
EVT-8434A9085EC3,ANON-42A3-D4A1,Submit,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:06:25
EVT-9E84167CD9E9,ANON-42A3-D4A1,Confirmation,ENTERED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:06:25
EVT-EC2DBC964C69,ANON-42A3-D4A1,Confirmation,COMPLETED,2026-08-23 10:00:00,CONSENTED,v2.5-coexistence,web_claims_portal,2026-08-23T10:06:45
